Mod:Item:MetaData, Localized Name
forestry:stairs.vanilla.fireproof.birch:0, Берёзовые ступеньки (огнестойкость)
forestry:stairs.vanilla.fireproof.jungle:0, Ступеньки из тропического дерева (огнестойкость)
forestry:stairs.vanilla.fireproof.acacia:0, Акациевые ступеньки (огнестойкость)
forestry:stairs.vanilla.fireproof.dark_oak:0, Ступеньки из тёмного дуба (огнестойкость)
forestry:doors.larch:0, Дверь из лиственницы
forestry:doors.teak:0, Дверь из тикового дерева
forestry:doors.acacia:0, Дверь из акации
forestry:doors.lime:0, Дверь из липы
forestry:doors.chestnut:0, Дверь из каштана
forestry:doors.wenge:0, Дверь из дерева Венге
forestry:doors.baobab:0, Дверь из баобаба
forestry:doors.sequoia:0, Дверь из секвойи
forestry:doors.kapok:0, Дверь из хлопкового дерева
forestry:doors.ebony:0, Дверь из мирта
forestry:doors.mahogany:0, Дверь из красного дерева
forestry:doors.balsa:0, Дверь из бальзы
forestry:doors.willow:0, Дверь из ивы
forestry:doors.walnut:0, Дверь из орехового дерева
forestry:doors.greenheart:0, Дверь из гринхарта
forestry:doors.cherry:0, Дверь из вишнёвого дерева
forestry:doors.mahoe:0, Дверь из гибискуса
forestry:doors.poplar:0, Дверь из тополя
forestry:doors.palm:0, Дверь из пальмы
forestry:doors.papaya:0, Дверь из дынного дерева
forestry:doors.pine:0, Дверь из сосны
forestry:doors.plum:0, Дверь из сливового дерева
forestry:doors.maple:0, Дверь из клёна
forestry:doors.citrus:0, Дверь из цитрусового дерева
forestry:doors.giganteum:0, Дверь из гигантской секвойи
forestry:doors.ipe:0, Дверь из муравьиного дерева
forestry:doors.padauk:0, Дверь из падука
forestry:doors.cocobolo:0, Дверь из кокоболо
forestry:doors.zebrawood:0, Дверь из зебрано
forestry:sapling_ge:0, tile.for.sapling_ge.name
forestry:leaves.decorative.0:0, Листва яблочного дуба
forestry:leaves.decorative.0:1, Листва тёмного дуба
forestry:leaves.decorative.0:2, Листва белой берёзы
forestry:leaves.decorative.0:3, Листва липы пушистой
forestry:leaves.decorative.0:4, Листва обычного орехового дерева
forestry:leaves.decorative.0:5, Листва каштана посевного
forestry:leaves.decorative.0:6, Листва сакуры
forestry:leaves.decorative.0:7, Листва лимонного дерева
forestry:leaves.decorative.0:8, Листва сливового дерева
forestry:leaves.decorative.0:9, Листва сахарного клёна
forestry:leaves.decorative.0:10, Листва красной ели
forestry:leaves.decorative.0:11, Листва мировой лиственницы
forestry:leaves.decorative.0:12, Листва жёлтой сосны
forestry:leaves.decorative.0:13, Листва береговой секвойи
forestry:leaves.decorative.0:14, Листва гигантской секвойи
forestry:leaves.decorative.0:15, Листва тропического дерева
forestry:leaves.decorative.1:0, Листва тикового дерева
forestry:leaves.decorative.1:1, Листва муравьиного дерева
forestry:leaves.decorative.1:2, Листва хлопкового дерева
forestry:leaves.decorative.1:3, Листва мирта
forestry:leaves.decorative.1:4, Листва зебрано
forestry:leaves.decorative.1:5, Листва жёлтого меранти
forestry:leaves.decorative.1:6, Листва акации
forestry:leaves.decorative.1:7, Листва пустынной акации
forestry:leaves.decorative.1:8, Листва падука
forestry:leaves.decorative.1:9, Листва бальзы
forestry:leaves.decorative.1:10, Листва кокоболо
forestry:leaves.decorative.1:11, Листва дерева Венге
forestry:leaves.decorative.1:12, Листва Адансонии Грандидье
forestry:leaves.decorative.1:13, Листва синего гибискуса
forestry:leaves.decorative.1:14, Листва белой ивы
forestry:leaves.decorative.1:15, Листва Сипири
forestry:leaves.decorative.2:0, Листва дынного дерева
forestry:leaves.decorative.2:1, Листва финиковой пальмы
forestry:leaves.decorative.2:2, Листва белого тополя
forestry:tree_chest:0, Сундук лесовода
forestry:greenhouse:0, Парниковый блок
forestry:greenhouse:3, Распределитель парниковой энергии
forestry:greenhouse:4, Парниковый контроль
forestry:greenhouse:5, Парниковый экран
forestry:climatiser:0, Тепличный терморегулятор
forestry:climatiser:1, Подогреватель парника
forestry:climatiser:2, Вентилятор парника
forestry:climatiser:3, Увлажнитель парника
forestry:climatiser:4, Осушитель парника
forestry:greenhouse.window:0, Окно парника
forestry:greenhouse.window_up:0, Окно крыши парника
forestry:genetic_filter:0, Генетический фильтр
forestry:apiarist_bag, Рюкзак пчеловода
forestry:lepidopterist_bag, Рюкзак лепидоптеролога
forestry:miner_bag, Рюкзак шахтёра
forestry:miner_bag_t2, Тканый рюкзак шахтёра
forestry:digger_bag, Рюкзак землекопа
forestry:digger_bag_t2, Тканый рюкзак землекопа
forestry:forester_bag, Рюкзак лесника
forestry:forester_bag_t2, Тканый рюкзак лесника
forestry:hunter_bag, Рюкзак охотника
forestry:hunter_bag_t2, Тканый рюкзак охотника
forestry:adventurer_bag, Рюкзак авантюриста
forestry:adventurer_bag_t2, Тканый рюкзак авантюриста
forestry:builder_bag, Рюкзак строителя
forestry:builder_bag_t2, Тканый рюкзак строителя
forestry:charcoal:0, Блок древесного угля
forestry:wood_pile:0, Охапка дров
forestry:wood_pile_decorative:0, Декоративная охапка дров
forestry:ash_block_0:0, Блок пепла
forestry:ash_block_1:0, Блок пепла
forestry:ash_block_2:0, Блок пепла
forestry:ash_block_3:0, Блок пепла
forestry:loam:0, Суглинок
forestry:worktable:0, Рабочий стол
forestry:crate, Ящик
forestry:butterfly_chest:0, Сундук лепидоптеролога
forestry:cocoon:0, tile.for.cocoon.name
forestry:cocoon.solid:0, tile.for.cocoon.solid.name
forestry:book_forester, Руководство лесника
forestry:engine_peat:0, Торфяной двигатель
forestry:engine_biogas:0, Биогазовый двигатель
forestry:engine_clockwork:0, Заводной двигатель
forestry:stamps:0, Почтовая марка (1n)
forestry:stamps:1, Почтовая марка (2n)
forestry:stamps:2, Почтовая марка (5n)
forestry:stamps:3, Почтовая марка (10n)
forestry:stamps:4, Почтовая марка (20n)
forestry:stamps:5, Почтовая марка (50n)
forestry:stamps:6, Почтовая марка (100n)
forestry:letters, Письмо
forestry:catalogue, Каталог
forestry:mailbox:0, Почтовый ящик
forestry:trade_station:0, Торговая станция
forestry:stamp_collector:0, Сборщик марок
forestry:mushroom:0, tile.for.mushroom.name
forestry:mushroom:1, tile.for.mushroom.name
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:arboretum:0, Дендрарий (управляемый)
forestry:arboretum:1, Дендрарий (руководство)
forestry:farm_crops:0, Ферма (управляемый)
forestry:farm_crops:1, Ферма (руководство)
forestry:farm_mushroom:0, Грибная ферма (управляемый)
forestry:farm_mushroom:1, Грибная ферма (руководство)
forestry:farm_gourd:0, Ферма бахчевых (управляемый)
forestry:farm_gourd:1, Ферма бахчевых (руководство)
forestry:farm_nether:0, Адская ферма (управляемый)
forestry:farm_nether:1, Адская ферма (руководство)
forestry:farm_ender:0, Ферма Края (управляемый)
forestry:farm_ender:1, Ферма Края (руководство)
forestry:peat_bog:0, Торфяник (управляемый)
forestry:peat_bog:1, Торфяник (руководство)
forestry:engine_electrical:0, Электродвигатель
forestry:engine_generator:0, Биогенератор
denseneutroncollectors:compressed_neutron_collector, Dense Neutron Collector
denseneutroncollectors:double_compressed_neutron_collector, Denser Neutron Collector
denseneutroncollectors:triple_compressed_neutron_collector, Densest Neutron Collector
thermalfoundation:ore:0, Медная руда
thermalfoundation:ore:1, Оловянная руда
thermalfoundation:ore:2, Серебряная руда
thermalfoundation:ore:3, Свинцовая руда
thermalfoundation:ore:4, Алюминиевая руда
thermalfoundation:ore:5, Никелевая руда
thermalfoundation:ore:6, Платиновая руда
thermalfoundation:ore:7, Иридиевая руда
thermalfoundation:ore:8, Мифриловая руда
thermalfoundation:ore_fluid:0, Нефтяной песок
thermalfoundation:ore_fluid:1, Нефтяной сланец
thermalfoundation:ore_fluid:2, Руда дестабилизированного красного камня
thermalfoundation:ore_fluid:3, Заряженный адский камень нижнего мира
thermalfoundation:ore_fluid:4, Резонирующий эндерняк
thermalfoundation:ore_fluid:5, Нефтяной песок
thermalfoundation:storage:0, Медный блок
thermalfoundation:storage:1, Оловянный блок
thermalfoundation:storage:2, Серебряный блок
thermalfoundation:storage:3, Свинцовый блок
thermalfoundation:storage:4, Алюминиевый блок
thermalfoundation:storage:5, Никелевый блок
thermalfoundation:storage:6, Платиновый блок
thermalfoundation:storage:7, Иридиевый блок
thermalfoundation:storage:8, Мифриловый блок
thermalfoundation:storage_alloy:0, Стальные блок
thermalfoundation:storage_alloy:1, Электрумовый блок
thermalfoundation:storage_alloy:2, Инваровый блок
thermalfoundation:storage_alloy:3, Бронзовый блок
thermalfoundation:storage_alloy:4, Константановый блок
thermalfoundation:storage_alloy:5, Синаловый блок
thermalfoundation:storage_alloy:6, Ламиумовый блок
thermalfoundation:storage_alloy:7, Блок эндериума
thermalfoundation:storage_resource:0, Угольный блок
thermalfoundation:storage_resource:1, Блок коксового угля
thermalfoundation:glass:0, Усиленное медное стекло
thermalfoundation:glass:1, Усиленное оловянное стекло
thermalfoundation:glass:2, Усиленное серебряное стекло
thermalfoundation:glass:3, Усиленное свинцовое стекло
thermalfoundation:glass:4, Усиленное алюминиевое стекло
thermalfoundation:glass:5, Усиленное никелевое стекло
thermalfoundation:glass:6, Усиленное платиновое стекло
thermalfoundation:glass:7, Усиленное иридиевое стекло
thermalfoundation:glass:8, Усиленное мифриловое стекло
thermalfoundation:glass_alloy:0, Усиленное стальное стекло
thermalfoundation:glass_alloy:1, Усиленное электрумовое стекло
thermalfoundation:glass_alloy:2, Усиленное инваровое стекло
thermalfoundation:glass_alloy:3, Усиленное бронзовое стекло
thermalfoundation:glass_alloy:4, Усиленное константовое стекло
thermalfoundation:glass_alloy:5, Усиленное синаловое стекло
thermalfoundation:glass_alloy:6, Усиленное ламиумовое стекло
thermalfoundation:glass_alloy:7, Усиленное эндериумное стекло
thermalfoundation:rockwool:0, Чёрная минеральная шерсть
thermalfoundation:rockwool:1, Красная минеральная шерсть
thermalfoundation:rockwool:2, Зелёная минеральная шерсть
thermalfoundation:rockwool:3, Коричневая минеральная шерсть
thermalfoundation:rockwool:4, Синяя минеральная шерсть
thermalfoundation:rockwool:5, Пурпурная минеральная шерсть
thermalfoundation:rockwool:6, Голубая минеральная шерсть
thermalfoundation:rockwool:7, Светло-серая минеральная шерсть
thermalfoundation:rockwool:8, Серая минеральная шерсть
thermalfoundation:rockwool:9, Розовая минеральная шерсть
thermalfoundation:rockwool:10, Лаймовая минеральная шерсть
thermalfoundation:rockwool:11, Жёлтая минеральная шерсть
thermalfoundation:rockwool:12, Светло-синяя минеральная шерсть
thermalfoundation:rockwool:13, Фиолетовая минеральная шерсть
thermalfoundation:rockwool:14, Оранжевая минеральная шерсть
thermalfoundation:rockwool:15, Белая минеральная шерсть
thermalfoundation:wrench:0, Серповидный молот
thermalfoundation:meter:0, Мультиметр
thermalfoundation:upgrade:0, Усиленный набор обновления
thermalfoundation:upgrade:1, Укреплённый набор обновления
thermalfoundation:upgrade:2, Синаловый набор обновления
thermalfoundation:upgrade:3, Резонирующий набор обновления
thermalfoundation:upgrade:33, Усиленный набор преобразования
thermalfoundation:upgrade:34, Синаловый набор преобразования
thermalfoundation:upgrade:35, Резонирующий набор преобразования
thermalfoundation:upgrade:256, Творческий набор преобразования
thermalfoundation:security:0, Синаловый замок безопасности
thermalfoundation:diagram_redprint, Красная печать
thermalfoundation:tome_lexicon, Лексикон Forge
thermalfoundation:tome_experience, Том знаний
thermalfoundation:coin:0, Железная монета
thermalfoundation:coin:1, Золотая монета
thermalfoundation:coin:64, Медная монета
thermalfoundation:coin:65, Оловянная монета
thermalfoundation:coin:66, Серебряная монета
thermalfoundation:coin:67, Свинцовая монета
thermalfoundation:coin:68, Алюминиевая монета
thermalfoundation:coin:69, Никелевая монета
thermalfoundation:coin:70, Платиновая монета
thermalfoundation:coin:71, Иридиевая монета
thermalfoundation:coin:72, Мифриловая монета
thermalfoundation:coin:96, Стальная монета
thermalfoundation:coin:97, Электрумовая монета
thermalfoundation:coin:98, Инваровая монета
thermalfoundation:coin:99, Бронзовая монета
thermalfoundation:coin:100, Константановая мионета
thermalfoundation:coin:101, Синаловая монета
thermalfoundation:coin:102, Ламиумовая монета
thermalfoundation:coin:103, Эндериумная монета
thermalfoundation:fertilizer:0, Фито-Гро
thermalfoundation:fertilizer:1, Обогащённый Фито-Гро
thermalfoundation:fertilizer:2, Флаксовый Фито-Гро
thermalfoundation:bait:0, Приманка
thermalfoundation:bait:1, Насыщенная приманка
thermalfoundation:bait:2, Наполненная флаксом приманка
thermalfoundation:dye:0, Черный пигмент
thermalfoundation:dye:1, Красный пигмент
thermalfoundation:dye:2, Зеленый пигмент
thermalfoundation:dye:3, Коричневый пигмент
thermalfoundation:dye:4, Синий пигмент
thermalfoundation:dye:5, Фиолетовый пигмент
thermalfoundation:dye:6, Голубой пигмент
thermalfoundation:dye:7, Светло-серый пигмент
thermalfoundation:dye:8, Серый пигмент
thermalfoundation:dye:9, Розовый пигмент
thermalfoundation:dye:10, Лаймовый пигмент
thermalfoundation:dye:11, Желтый пигмент
thermalfoundation:dye:12, Светло-синий пигмент
thermalfoundation:dye:13, Пурпурный пигмент
thermalfoundation:dye:14, Оранжевый пигмент
thermalfoundation:dye:15, Белый пигмент
thermalfoundation:material:0, Измельчённое железо
thermalfoundation:material:1, Измельчённое золото
thermalfoundation:material:16, Кусочек алмаза
thermalfoundation:material:17, Кусочек изумруда
thermalfoundation:material:22, Деревянная шестерня
thermalfoundation:material:23, Каменная шестерня
thermalfoundation:material:24, Железная шестерня
thermalfoundation:material:25, Золотая шестерня
thermalfoundation:material:26, Алмазная шестерня
thermalfoundation:material:27, Изумрудная шестерня
thermalfoundation:material:32, Железная пластина
thermalfoundation:material:33, Золотая пластина
thermalfoundation:material:64, Измельчённая медь
thermalfoundation:material:65, Измельчённое олово
thermalfoundation:material:66, Измельчённое серебро
thermalfoundation:material:67, Измельчённый свинец
thermalfoundation:material:68, Измельчённый алюминий
thermalfoundation:material:69, Измельчённый никель
thermalfoundation:material:70, Измельчённая платина
thermalfoundation:material:71, Измельчённый иридий
thermalfoundation:material:72, Измельчённый мифрил
thermalfoundation:material:96, Стальная смесь
thermalfoundation:material:97, Смесь электрума
thermalfoundation:material:98, Инваровая смесь
thermalfoundation:material:99, Бронзовая смесь
thermalfoundation:material:100, Константановая смесь
thermalfoundation:material:101, Синаловая смесь
thermalfoundation:material:102, Ламиумовая смесь
thermalfoundation:material:103, Смесь эндериума
thermalfoundation:material:128, Медный слиток
thermalfoundation:material:129, Оловянный слиток
thermalfoundation:material:130, Серебряный слиток
thermalfoundation:material:131, Свинцовый слиток
thermalfoundation:material:132, Алюминиевый слиток
thermalfoundation:material:133, Никелевый слиток
thermalfoundation:material:134, Платиновый слиток
thermalfoundation:material:135, Иридиевый слиток
thermalfoundation:material:136, Мифриловый слиток
thermalfoundation:material:160, Стальной слиток
thermalfoundation:material:161, Электрумовый слиток
thermalfoundation:material:162, Инваровый слиток
thermalfoundation:material:163, Бронзовый слиток
thermalfoundation:material:164, Константановый слиток
thermalfoundation:material:165, Синаловый слиток
thermalfoundation:material:166, Ламиумовый слиток
thermalfoundation:material:167, Эндериумный слиток
thermalfoundation:material:192, Кусочек меди
thermalfoundation:material:193, Кусочек олова
thermalfoundation:material:194, Кусочек серебра
thermalfoundation:material:195, Кусочек свинца
thermalfoundation:material:196, Кусочек алюминия
thermalfoundation:material:197, Кусочек никеля
thermalfoundation:material:198, Кусочек платины
thermalfoundation:material:199, Кусочек иридия
thermalfoundation:material:200, Кусочек мифрила
thermalfoundation:material:224, Кусочек стали
thermalfoundation:material:225, Кусочек электрума
thermalfoundation:material:226, Кусочек инвара
thermalfoundation:material:227, Кусочек бронзы
thermalfoundation:material:228, Кусочек константана
thermalfoundation:material:229, Кусочек синала
thermalfoundation:material:230, Кусочек ламиума
thermalfoundation:material:231, Кусочек эндериума
thermalfoundation:material:256, Медная шестерня
thermalfoundation:material:257, Оловянная шестерня
thermalfoundation:material:258, Серебряная шестерня
thermalfoundation:material:259, Свинцовая шестерня
thermalfoundation:material:260, Алюминиевая шестерня
thermalfoundation:material:261, Никелевая шестерня
thermalfoundation:material:262, Платиновая шестерня
thermalfoundation:material:263, Иридиевая шестерня
thermalfoundation:material:264, Мифриловая шестерня
thermalfoundation:material:288, Стальная шестерня
thermalfoundation:material:289, Электрумовая шестерня
thermalfoundation:material:290, Инваровая шестерня
thermalfoundation:material:291, Бронзовая шестерня
thermalfoundation:material:292, Константановая шестерня
thermalfoundation:material:293, Синаловая шестерня
thermalfoundation:material:294, Ламиумовая шестерня
thermalfoundation:material:295, Эндериумная шестерня
thermalfoundation:material:320, Медная пластина
thermalfoundation:material:321, Оловянная пластина
thermalfoundation:material:322, Серебряная пластина
thermalfoundation:material:323, Свинцовая пластина
thermalfoundation:material:324, Алюминиевая пластина
thermalfoundation:material:325, Никелевая пластина
thermalfoundation:material:326, Платиновая пластина
thermalfoundation:material:327, Иридиевая пластина
thermalfoundation:material:328, Мифриловая пластина
thermalfoundation:material:352, Стальная пластина
thermalfoundation:material:353, Электрумовая пластина
thermalfoundation:material:354, Инваровая пластина
thermalfoundation:material:355, Бронзовая пластина
thermalfoundation:material:356, Константановая пластина
thermalfoundation:material:357, Синаловая пластина
thermalfoundation:material:358, Ламиумовая пластина
thermalfoundation:material:359, Эндериумная пластина
thermalfoundation:material:512, Красный сервомотор
thermalfoundation:material:513, Красная принимающая катушка
thermalfoundation:material:514, Красная отдающая катушка
thermalfoundation:material:515, Красная проводящая катушка
thermalfoundation:material:640, Корпус инструмента
thermalfoundation:material:656, Головка дрели
thermalfoundation:material:657, Лезвие пилы
thermalfoundation:material:768, Измельчённый уголь
thermalfoundation:material:769, Измельчённый древесный уголь
thermalfoundation:material:770, Измельчённый обсидиан
thermalfoundation:material:771, Сера
thermalfoundation:material:772, Селитра
thermalfoundation:material:800, Опилки
thermalfoundation:material:801, Прессованные опилки
thermalfoundation:material:802, Коксовый уголь
thermalfoundation:material:816, Очищенная биомасса
thermalfoundation:material:817, Обогащённая биомасса
thermalfoundation:material:818, Очищенная биосмесь
thermalfoundation:material:819, Обогащённая биосмесь
thermalfoundation:material:832, Канифоль
thermalfoundation:material:833, Смола
thermalfoundation:material:864, Шлак
thermalfoundation:material:865, Обогащённый шлак
thermalfoundation:material:866, Киноварь
thermalfoundation:material:892, Битум
thermalfoundation:material:893, Дестабилизированный клатрат
thermalfoundation:material:894, Заряженный клатрат
thermalfoundation:material:895, Резонирующий клатрат
thermalfoundation:material:1024, Пыль пиротеума
thermalfoundation:material:1025, Пыль криотеума
thermalfoundation:material:1026, Пыль аэротеума
thermalfoundation:material:1027, Пыль петротеума
thermalfoundation:material:1028, Пыль маны
thermalfoundation:material:2048, Стержень Близза
thermalfoundation:material:2049, Порошок Близза
thermalfoundation:material:2050, Стержень Блитца
thermalfoundation:material:2051, Порошок Блитца
thermalfoundation:material:2052, Стержень Базальца
thermalfoundation:material:2053, Порошок Базальца
thermalfoundation:geode:0, Жеода
thermalfoundation:armor.helmet_copper, Медный шлем
thermalfoundation:armor.plate_copper, Медный нагрудник
thermalfoundation:armor.legs_copper, Медные поножи
thermalfoundation:armor.boots_copper, Медные ботинки
thermalfoundation:armor.helmet_tin, Оловянный шлем
thermalfoundation:armor.plate_tin, Оловянный нагрудник
thermalfoundation:armor.legs_tin, Оловянные поножи
thermalfoundation:armor.boots_tin, Оловянные ботинки
thermalfoundation:armor.helmet_silver, Серебряный шлем
thermalfoundation:armor.plate_silver, Серебряный нагрудник
thermalfoundation:armor.legs_silver, Серебряные поножи
thermalfoundation:armor.boots_silver, Серебряные ботинки
thermalfoundation:armor.helmet_lead, Свинцовый шлем
thermalfoundation:armor.plate_lead, Свинцовый нагрудник
thermalfoundation:armor.legs_lead, Свинцовые поножи
thermalfoundation:armor.boots_lead, Свинцовые ботинки
thermalfoundation:armor.helmet_aluminum, Алюминиевый шлем
thermalfoundation:armor.plate_aluminum, Алюминиевый нагрудник
thermalfoundation:armor.legs_aluminum, Алюминиевые поножи
thermalfoundation:armor.boots_aluminum, Алюминиевые ботинки
thermalfoundation:armor.helmet_nickel, Никелевый шлем
thermalfoundation:armor.plate_nickel, Никелевый нагрудник
thermalfoundation:armor.legs_nickel, Никелевые поножи
thermalfoundation:armor.boots_nickel, Никелевые ботинки
thermalfoundation:armor.helmet_platinum, Платиновый шлем
thermalfoundation:armor.plate_platinum, Платиновый нагрудник
thermalfoundation:armor.legs_platinum, Платиновые поножи
thermalfoundation:armor.boots_platinum, Платиновые ботинки
thermalfoundation:armor.helmet_steel, Стальной шлем
thermalfoundation:armor.plate_steel, Стальной нагрудник
thermalfoundation:armor.legs_steel, Стальные поножи
thermalfoundation:armor.boots_steel, Стальные ботинки
thermalfoundation:armor.helmet_electrum, Электрумовый шлем
thermalfoundation:armor.plate_electrum, Электрумовый нагрудник
thermalfoundation:armor.legs_electrum, Электрумовые поножи
thermalfoundation:armor.boots_electrum, Электрумовые ботинки
thermalfoundation:armor.helmet_invar, Инваровый шлем
thermalfoundation:armor.plate_invar, Инваровый нагрудник
thermalfoundation:armor.legs_invar, Инваровые поножи
thermalfoundation:armor.boots_invar, Инваровые ботинки
thermalfoundation:armor.helmet_bronze, Бронзовый шлем
thermalfoundation:armor.plate_bronze, Бронзовый нагрудник
thermalfoundation:armor.legs_bronze, Бронзовые поножи
thermalfoundation:armor.boots_bronze, Бронзовые ботинки
thermalfoundation:armor.helmet_constantan, Константановый шлем
thermalfoundation:armor.plate_constantan, Константановый нагрудник
thermalfoundation:armor.legs_constantan, Константановые поножи
thermalfoundation:armor.boots_constantan, Константановые ботинки
thermalfoundation:tool.sword_copper, Медный меч
thermalfoundation:tool.shovel_copper, Медная лопата
thermalfoundation:tool.pickaxe_copper, Медная кирка
thermalfoundation:tool.axe_copper, Медный топор
thermalfoundation:tool.hoe_copper, Медная мотыга
thermalfoundation:tool.bow_copper, Медный укрепленный лук
thermalfoundation:tool.fishing_rod_copper, Медная удочка
thermalfoundation:tool.shears_copper, Медные ножницы
thermalfoundation:tool.sickle_copper, Медный серп
thermalfoundation:tool.hammer_copper, Медный молот
thermalfoundation:tool.excavator_copper, Медный заступ
thermalfoundation:tool.shield_copper, Медный щит
thermalfoundation:tool.sword_tin, Оловянный меч
thermalfoundation:tool.shovel_tin, Оловянная лопата
thermalfoundation:tool.pickaxe_tin, Оловянная кирка
thermalfoundation:tool.axe_tin, Оловянный топор
thermalfoundation:tool.hoe_tin, Оловянная мотыга
thermalfoundation:tool.bow_tin, Оловянный укрепленный лук
thermalfoundation:tool.fishing_rod_tin, Оловянная удочка
thermalfoundation:tool.shears_tin, Оловянные ножницы
thermalfoundation:tool.sickle_tin, Оловянный серп
thermalfoundation:tool.hammer_tin, Оловянный молот
thermalfoundation:tool.excavator_tin, Оловянный заступ
thermalfoundation:tool.shield_tin, Оловянный щит
thermalfoundation:tool.sword_silver, Серебряный меч
thermalfoundation:tool.shovel_silver, Серебряная лопата
thermalfoundation:tool.pickaxe_silver, Серебряная кирка
thermalfoundation:tool.axe_silver, Серебряный топор
thermalfoundation:tool.hoe_silver, Серебряная мотыга
thermalfoundation:tool.bow_silver, Серебряный укрепленный лук
thermalfoundation:tool.fishing_rod_silver, Серебряная удочка
thermalfoundation:tool.shears_silver, Серебряные ножницы
thermalfoundation:tool.sickle_silver, Серебряный серп
thermalfoundation:tool.hammer_silver, Серебряный молот
thermalfoundation:tool.excavator_silver, Серебряный заступ
thermalfoundation:tool.shield_silver, Серебряный щит
thermalfoundation:tool.sword_lead, Свинцовый меч
thermalfoundation:tool.shovel_lead, Свинцовая лопата
thermalfoundation:tool.pickaxe_lead, Свинцовая кирка
thermalfoundation:tool.axe_lead, Свинцовый топор
thermalfoundation:tool.hoe_lead, Свинцовая мотыга
thermalfoundation:tool.bow_lead, Свинцовый укрепленный лук
thermalfoundation:tool.fishing_rod_lead, Свинцовая удочка
thermalfoundation:tool.shears_lead, Свинцовые ножницы
thermalfoundation:tool.sickle_lead, Свинцовый серп
thermalfoundation:tool.hammer_lead, Свинцовый молот
thermalfoundation:tool.excavator_lead, Свинцовый заступ
thermalfoundation:tool.shield_lead, Свинцовый щит
thermalfoundation:tool.sword_aluminum, Алюминиевый меч
thermalfoundation:tool.shovel_aluminum, Алюминиевая лопата
thermalfoundation:tool.pickaxe_aluminum, Алюминиевая кирка
thermalfoundation:tool.axe_aluminum, Алюминиевый топор
thermalfoundation:tool.hoe_aluminum, Алюминиевая мотыга
thermalfoundation:tool.bow_aluminum, Алюминиевый укрепленный лук
thermalfoundation:tool.fishing_rod_aluminum, Алюминиевая удочка
thermalfoundation:tool.shears_aluminum, Алюминиевые ножницы
thermalfoundation:tool.sickle_aluminum, Алюминиевый серп
thermalfoundation:tool.hammer_aluminum, Алюминиевый молот
thermalfoundation:tool.excavator_aluminum, Алюминиевый заступ
thermalfoundation:tool.shield_aluminum, Алюминиевый щит
thermalfoundation:tool.sword_nickel, Никелевый меч
thermalfoundation:tool.shovel_nickel, Никелевая лопата
thermalfoundation:tool.pickaxe_nickel, Никелевая кирка
thermalfoundation:tool.axe_nickel, Никелевый топор
thermalfoundation:tool.hoe_nickel, Никелевая мотыга
thermalfoundation:tool.bow_nickel, Никелевый укрепленный лук
thermalfoundation:tool.fishing_rod_nickel, Никелевая удочка
thermalfoundation:tool.shears_nickel, Никелевые ножницы
thermalfoundation:tool.sickle_nickel, Никелевый серп
thermalfoundation:tool.hammer_nickel, Никелевый молот
thermalfoundation:tool.excavator_nickel, Никелевый заступ
thermalfoundation:tool.shield_nickel, Никелевый щит
thermalfoundation:tool.sword_platinum, Платиновый меч
thermalfoundation:tool.shovel_platinum, Платиновая лопата
thermalfoundation:tool.pickaxe_platinum, Платиновая кирка
